year,mortality_rate_per_1000,source
2001,4.5,MSPAS_mortalidad_2001_2019
2002,4.92,MSPAS_mortalidad_2001_2019
2003,4.98,MSPAS_mortalidad_2001_2019
2004,5.0,MSPAS_mortalidad_2001_2019
2005,5.05,MSPAS_mortalidad_2001_2019
2006,5.08,MSPAS_mortalidad_2001_2019
2007,5.08,MSPAS_mortalidad_2001_2019
2008,5.08,MSPAS_mortalidad_2001_2019
2009,5.09,MSPAS_mortalidad_2001_2019
2010,5.11,MSPAS_mortalidad_2001_2019
2011,5.12,MSPAS_mortalidad_2001_2019
2012,5.16,MSPAS_mortalidad_2001_2019
2013,5.2,MSPAS_mortalidad_2001_2019
2014,5.2,MSPAS_mortalidad_2001_2019
2015,5.24,MSPAS_mortalidad_2001_2019
2016,5.28,MSPAS_mortalidad_2001_2019
2017,5.28,MSPAS_mortalidad_2001_2019
2018,5.37,MSPAS_mortalidad_2001_2019
2019,5.44,MSPAS_mortalidad_2001_2019
