Valores de las variables defunciones,Unnamed: 1,Unnamed: 2
Valor,Código,Etiqueta
Departamento de registro,1,Guatemala
,2,El Progreso
,3,Sacatepéquez
,4,Chimaltenango
,5,Escuintla
,6,Santa Rosa
,7,Sololá
,8,Totonicapán
,9,Quetzaltenango
,10,Suchitepéquez
,11,Retalhuleu
,12,San Marcos
,13,Huehuetenango
,14,Quiché
,15,Baja Verapaz
,16,Alta Verapaz
,17,Petén
,18,Izabal
,19,Zacapa
,20,Chiquimula
,21,Jalapa
,22,Jutiapa
Municipio de registro,0101,Guatemala
,0102,Santa Catarina Pinula
,0103,San José Pinula
,0104,San José del Golfo
,0105,Palencia
,0106,Chinautla
,0107,San Pedro Ayampuc
,0108,Mixco
,0109,San Pedro Sacatepéquez
,0110,San Juan Sacatepéquez
,0111,San Raymundo
,0112,Chuarrancho
,0113,Fraijanes
,0114,Amatitlán
,0115,Villa Nueva
,0116,Villa Canales
,0117,Petapa
,0201,Guastatoya
,0202,Morazán
,0203,San Agustín Acasaguastlán
,0204,San Cristóbal Acasaguastlán
,0205,El Jícaro
,0206,Sansare
,0207,Sanarate
,0208,San Antonio la Paz
,0301,Antigua Guatemala
,0302,Jocotenango
,0303,Pastores
,0304,Sumpango
,0305,Santo Domingo Xenacoj
,0306,Santiago Sacatepéquez
,0307,San Bartolomé Milpas Altas
,0308,San Lucas Sacatepéquez
,0309,Santa Lucía Milpas Altas
,0310,Magdalena Milpas Altas
,0311,Santa María de Jesús
,0312,Ciudad Vieja
,0313,San Miguel Dueñas
,0314,Alotenango
,0315,San Antonio Aguas Calientes
,0316,Santa Catarina Barahona
,0401,Chimaltenango
,0402,San José Poaquil
,0403,San Martín Jilotepeque
,0404,Comalapa
,0405,Santa Apolonia
,0406,Tecpán Guatemala
,0407,Patzún
,0408,Pochuta
,0409,Patzicía
,0410,Santa Cruz Balanyá
,0411,Acatenango
,0412,Yepocapa
,0413,San Andrés Itzapa
,0414,Parramos
,0415,Zaragoza
,0416,El Tejar
,0501,Escuintla
,0502,Santa Lucía Cotzumalguapa
,0503,La Democracia
,0504,Siquinalá
,0505,Masagua
,0506,Tiquisate
,0507,La Gomera
,0508,Guanagazapa
,0509,San José
,0510,Iztapa
,0511,Palín
,0512,San Vicente Pacaya
,0513,Nueva Concepción
,0514,Sipacate
,0601,Cuilapa
,0602,Barberena
,0603,Santa Rosa de Lima
,0604,Casillas
,0605,San Rafael las Flores
,0606,Oratorio
,0607,San Juan Tecuaco
,0608,Chiquimulilla
,0609,Taxisco
,0610,Santa María Ixhuatán
,0611,Guazacapán
,0612,Santa Cruz Naranjo
,0613,Pueblo Nuevo Viñas
,0614,Nueva Santa Rosa
,0701,Sololá
,0702,San José Chacayá
,0703,Santa María Visitación
,0704,Santa Lucía Utatlán
,0705,Nahualá
,0706,Santa Catarina Ixtahuacán
,0707,Santa Clara la Laguna
,0708,Concepción
,0709,San Andrés Semetabaj
,0710,Panajachel
,0711,Santa Catarina Palopó
,0712,San Antonio Palopó
,0713,San Lucas Tolimán
,0714,Santa Cruz la Laguna
,0715,San Pablo la Laguna
,0716,San Marcos la Laguna
,0717,San Juan la Laguna
,0718,San Pedro la Laguna
,0719,Santiago Atitlán
,0801,Totonicapán
,0802,San Cristóbal Totonicapán
,0803,San Francisco el Alto
,0804,San Andrés Xecul
,0805,Momostenango
,0806,Santa María Chiquimula
,0807,Santa Lucía la Reforma
,0808,San Bartolo
,0901,Quetzaltenango
,0902,Salcajá
,0903,Olintepeque
,0904,San Carlos Sija
,0905,Sibilia
,0906,Cabricán
,0907,Cajolá
,0908,San Miguel Siguilá
,0909,Ostuncalco
,0910,San Mateo
,0911,Concepción Chiquirichapa
,0912,San Martín Sacatepéquez
,0913,Almolonga
,0914,Cantel
,0915,Huitán
,0916,Zunil
,0917,Colomba
,0918,San Francisco la Unión
,0919,El Palmar
,0920,Coatepeque
,0921,Génova
,0922,Flores Costa Cuca
,0923,La Esperanza
,0924,Palestina de los Altos
,1001,Mazatenango
,1002,Cuyotenango
,1003,San Francisco Zapotitlán
,1004,San Bernardino
,1005,San José el Idolo
,1006,Santo Domingo Suchitepéquez
,1007,San Lorenzo
,1008,Samayac
,1009,San Pablo Jocopilas
,1010,San Antonio Suchitepéquez
,1011,San Miguel Panán
,1012,San Gabriel
,1013,Chicacao
,1014,Patulul
,1015,Santa Bárbara
,1016,San Juan Bautista
,1017,Santo Tomás la Unión
,1018,Zunilito
,1019,Pueblo Nuevo
,1020,Río Bravo
,1021,San José La Máquina
,1101,Retalhuleu
,1102,San Sebastián
,1103,Santa Cruz Muluá
,1104,San Martín Zapotitlán
,1105,San Felipe
,1106,San Andrés Villa Seca
,1107,Champerico
,1108,Nuevo San Carlos
,1109,El Asintal
,1201,San Marcos
,1202,San Pedro Sacatepéquez
,1203,San Antonio Sacatepéquez
,1204,Comitancillo
,1205,San Miguel Ixtahuacán
,1206,Concepción Tutuapa
,1207,Tacaná
,1208,Sibinal
,1209,Tajumulco
,1210,Tejutla
,1211,San Rafael Pié de la Cuesta
,1212,Nuevo Progreso
,1213,El Tumbador
,1214,El Rodeo
,1215,Malacatán
,1216,Catarina
,1217,Ayutla
,1218,Ocós
,1219,San Pablo
,1220,El Quetzal
,1221,La Reforma
,1222,Pajapita
,1223,Ixchiguán
,1224,San José Ojetenán
,1225,San Cristóbal Cucho
,1226,Sipacapa
,1227,Esquipulas Palo Gordo
,1228,Río Blanco
,1229,San Lorenzo
,1230,La Blanca
,1301,Huehuetenango
,1302,Chiantla
,1303,Malacatancito
,1304,Cuilco
,1305,Nentón
,1306,San Pedro Necta
,1307,Jacaltenango
,1308,Soloma
,1309,Ixtahuacán
,1310,Santa Bárbara
,1311,La Libertad
,1312,La Democracia
,1313,San Miguel Acatán
,1314,San Rafael la Independencia
