year,cause_group,age_group,deaths,source
2022,Costa Rica,col_1,28931,INEC_CR_2022_C4
2022,Costa Rica,Menos de,512,INEC_CR_2022_C4
2022,Costa Rica,1 - 14,188,INEC_CR_2022_C4
2022,Costa Rica,15 - 64,8811,INEC_CR_2022_C4
2022,Costa Rica,65 años,19382,INEC_CR_2022_C4
2022,Costa Rica,Ignorada,38,INEC_CR_2022_C4
2022,Costa Rica,col_7,0,INEC_CR_2022_C4
2022,Costa Rica,col_8,0,INEC_CR_2022_C4
2022,Costa Rica,col_9,0,INEC_CR_2022_C4
2022,Costa Rica,col_10,0,INEC_CR_2022_C4
2022,Costa Rica,col_11,0,INEC_CR_2022_C4
2022,1- Enfermedades infecciosas intestinales,col_1,73,INEC_CR_2022_C4
2022,1- Enfermedades infecciosas intestinales,Menos de,6,INEC_CR_2022_C4
2022,1- Enfermedades infecciosas intestinales,1 - 14,2,INEC_CR_2022_C4
2022,1- Enfermedades infecciosas intestinales,15 - 64,14,INEC_CR_2022_C4
2022,1- Enfermedades infecciosas intestinales,65 años,51,INEC_CR_2022_C4
2022,1- Enfermedades infecciosas intestinales,Ignorada,0,INEC_CR_2022_C4
2022,1- Enfermedades infecciosas intestinales,col_7,0,INEC_CR_2022_C4
2022,1- Enfermedades infecciosas intestinales,col_8,0,INEC_CR_2022_C4
2022,1- Enfermedades infecciosas intestinales,col_9,0,INEC_CR_2022_C4
2022,1- Enfermedades infecciosas intestinales,col_10,0,INEC_CR_2022_C4
2022,1- Enfermedades infecciosas intestinales,col_11,0,INEC_CR_2022_C4
2022,2- Tuberculosis,col_1,34,INEC_CR_2022_C4
2022,2- Tuberculosis,Menos de,0,INEC_CR_2022_C4
2022,2- Tuberculosis,1 - 14,0,INEC_CR_2022_C4
2022,2- Tuberculosis,15 - 64,25,INEC_CR_2022_C4
2022,2- Tuberculosis,65 años,9,INEC_CR_2022_C4
2022,2- Tuberculosis,Ignorada,0,INEC_CR_2022_C4
2022,2- Tuberculosis,col_7,0,INEC_CR_2022_C4
2022,2- Tuberculosis,col_8,0,INEC_CR_2022_C4
2022,2- Tuberculosis,col_9,0,INEC_CR_2022_C4
2022,2- Tuberculosis,col_10,0,INEC_CR_2022_C4
2022,2- Tuberculosis,col_11,0,INEC_CR_2022_C4
2022,3- Ciertas zoonosis bacterianas y otras enfermedades bacterianas,col_1,122,INEC_CR_2022_C4
2022,3- Ciertas zoonosis bacterianas y otras enfermedades bacterianas,Menos de,2,INEC_CR_2022_C4
2022,3- Ciertas zoonosis bacterianas y otras enfermedades bacterianas,1 - 14,2,INEC_CR_2022_C4
2022,3- Ciertas zoonosis bacterianas y otras enfermedades bacterianas,15 - 64,46,INEC_CR_2022_C4
2022,3- Ciertas zoonosis bacterianas y otras enfermedades bacterianas,65 años,70,INEC_CR_2022_C4
2022,3- Ciertas zoonosis bacterianas y otras enfermedades bacterianas,Ignorada,2,INEC_CR_2022_C4
2022,3- Ciertas zoonosis bacterianas y otras enfermedades bacterianas,col_7,0,INEC_CR_2022_C4
2022,3- Ciertas zoonosis bacterianas y otras enfermedades bacterianas,col_8,0,INEC_CR_2022_C4
2022,3- Ciertas zoonosis bacterianas y otras enfermedades bacterianas,col_9,0,INEC_CR_2022_C4
2022,3- Ciertas zoonosis bacterianas y otras enfermedades bacterianas,col_10,0,INEC_CR_2022_C4
