year,cause_group,total,hombres,mujeres,source
2022,Costa Rica,28931,16252,12679,INEC_CR_2022_C5
2022,1- Enfermedades infecciosas intestinales,73,37,36,INEC_CR_2022_C5
2022,2- Tuberculosis,34,28,6,INEC_CR_2022_C5
2022,3- Ciertas zoonosis bacterianas y otras enfermedades bacterianas,122,70,52,INEC_CR_2022_C5
2022,"6- Ciertas enfermedades víricas e infecciones virales, hepatitis viral, VIH por virus",2145,1228,917,INEC_CR_2022_C5
2022,"7- Micosis, enfermedades debido a protozoarios, helmintasis, pediculosis, acariosis y otras infestaciones",16,7,9,INEC_CR_2022_C5
2022,"9- Tumor maligno del labio, de la cavidad bucal y de la faringe",108,80,28,INEC_CR_2022_C5
2022,10- Tumor maligno de otros órganos digestivos,2148,1205,943,INEC_CR_2022_C5
2022,11- Tumor maligno de órganos respiratorios e intratoráxicos,383,248,135,INEC_CR_2022_C5
2022,"12- Tumor maligno de los huesos, del tejido conjuntivo, de los tejidos blandos, de piel y de la mama",662,159,503,INEC_CR_2022_C5
2022,13- Tumor maligno de los órganos genitourinarios,1052,629,423,INEC_CR_2022_C5
2022,"14- Tumor maligno del ojo, encéfalo, partes del sistema nervioso y glándulas endocrinas",213,117,96,INEC_CR_2022_C5
2022,"15- Tumor maligno de otros sitios, secundarios y de los no especificado",249,124,125,INEC_CR_2022_C5
2022,"16- Tumor maligno del tejido linfático, de los órganos hematopoyéticos y de sitios múltiples independientes",532,300,232,INEC_CR_2022_C5
2022,18- Tumores benignos,41,20,21,INEC_CR_2022_C5
2022,19- Tumores de comportamiento incierto o desconocidos,322,184,138,INEC_CR_2022_C5
2022,20- Enfermedades de las glándulas endocrinas y metabólicas,2294,1136,1158,INEC_CR_2022_C5
2022,21- Deficiencia de la nutrición,164,81,83,INEC_CR_2022_C5
2022,"22- Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo de la inmunidad",144,73,71,INEC_CR_2022_C5
2022,23- Trastornos mentales y del comportamiento,855,400,455,INEC_CR_2022_C5
2022,24- Enfermedades e infecciones virales del sistema nervioso,1003,519,484,INEC_CR_2022_C5
2022,27- Fiebre reumática y otras enfermedades reumáticas del corazón,22,11,11,INEC_CR_2022_C5
2022,28- Enfermedad hipertensiva,1801,854,947,INEC_CR_2022_C5
2022,29- Enfermedad isquémica del corazón,3101,1811,1290,INEC_CR_2022_C5
2022,30- Enfermedades de la circulación pulmonar y otras formas de enfermedades del corazón,1008,516,492,INEC_CR_2022_C5
2022,"31- Enfermedades cerebrovasculares, de las venas y las arterias",1781,898,883,INEC_CR_2022_C5
2022,"33- Enfermedades de las vías respiratorias- superiores e inferiores-, del pulmón, influenza y neumonía",1751,939,812,INEC_CR_2022_C5
2022,34- Otras enfermedades del aparato respiratorio y de la pleura,111,62,49,INEC_CR_2022_C5
2022,"35- Enfermedades de la cavidad bucal, glándulas salivales y maxilares",3,2,1,INEC_CR_2022_C5
2022,"36- Enfermedades del esófago, apéndice y hernias",185,97,88,INEC_CR_2022_C5
