year,province,sex,age_group,deaths,source
2022,Costa Rica,total,Total,28931,INEC_CR_2022_C10
2022,Costa Rica,total,Menos de 1 año,512,INEC_CR_2022_C10
2022,Costa Rica,total,1 - 9,112,INEC_CR_2022_C10
2022,Costa Rica,total,10 - 19,298,INEC_CR_2022_C10
2022,Costa Rica,total,20 - 29,904,INEC_CR_2022_C10
2022,Costa Rica,total,30 - 39,1238,INEC_CR_2022_C10
2022,Costa Rica,total,40 - 49,1538,INEC_CR_2022_C10
2022,Costa Rica,total,50 - 59,2746,INEC_CR_2022_C10
2022,Costa Rica,total,60 - 69,4635,INEC_CR_2022_C10
2022,Costa Rica,total,70 - 79,5983,INEC_CR_2022_C10
2022,Costa Rica,total,80 años y más,10927,INEC_CR_2022_C10
2022,Costa Rica,total,Ignorada,38,INEC_CR_2022_C10
2022,Costa Rica,hombres,Total,16252,INEC_CR_2022_C10
2022,Costa Rica,hombres,Menos de 1 año,281,INEC_CR_2022_C10
2022,Costa Rica,hombres,1 - 9,64,INEC_CR_2022_C10
2022,Costa Rica,hombres,10 - 19,186,INEC_CR_2022_C10
2022,Costa Rica,hombres,20 - 29,733,INEC_CR_2022_C10
2022,Costa Rica,hombres,30 - 39,920,INEC_CR_2022_C10
2022,Costa Rica,hombres,40 - 49,975,INEC_CR_2022_C10
2022,Costa Rica,hombres,50 - 59,1744,INEC_CR_2022_C10
2022,Costa Rica,hombres,60 - 69,2827,INEC_CR_2022_C10
2022,Costa Rica,hombres,70 - 79,3330,INEC_CR_2022_C10
2022,Costa Rica,hombres,80 años y más,5169,INEC_CR_2022_C10
2022,Costa Rica,hombres,Ignorada,23,INEC_CR_2022_C10
2022,Costa Rica,mujeres,Total,12679,INEC_CR_2022_C10
2022,Costa Rica,mujeres,Menos de 1 año,231,INEC_CR_2022_C10
2022,Costa Rica,mujeres,1 - 9,48,INEC_CR_2022_C10
2022,Costa Rica,mujeres,10 - 19,112,INEC_CR_2022_C10
2022,Costa Rica,mujeres,20 - 29,171,INEC_CR_2022_C10
2022,Costa Rica,mujeres,30 - 39,318,INEC_CR_2022_C10
2022,Costa Rica,mujeres,40 - 49,563,INEC_CR_2022_C10
2022,Costa Rica,mujeres,50 - 59,1002,INEC_CR_2022_C10
2022,Costa Rica,mujeres,60 - 69,1808,INEC_CR_2022_C10
2022,Costa Rica,mujeres,70 - 79,2653,INEC_CR_2022_C10
2022,Costa Rica,mujeres,80 años y más,5758,INEC_CR_2022_C10
2022,Costa Rica,mujeres,Ignorada,15,INEC_CR_2022_C10
2022,San José,total,Total,9918,INEC_CR_2022_C10
2022,San José,total,Menos de 1 año,148,INEC_CR_2022_C10
2022,San José,total,1 - 9,27,INEC_CR_2022_C10
2022,San José,total,10 - 19,75,INEC_CR_2022_C10
2022,San José,total,20 - 29,229,INEC_CR_2022_C10
2022,San José,total,30 - 39,340,INEC_CR_2022_C10
2022,San José,total,40 - 49,463,INEC_CR_2022_C10
2022,San José,total,50 - 59,928,INEC_CR_2022_C10
2022,San José,total,60 - 69,1587,INEC_CR_2022_C10
2022,San José,total,70 - 79,2108,INEC_CR_2022_C10
2022,San José,total,80 años y más,4001,INEC_CR_2022_C10
2022,San José,total,Ignorada,12,INEC_CR_2022_C10
2022,San José,hombres,Total,5272,INEC_CR_2022_C10
2022,San José,hombres,Menos de 1 año,80,INEC_CR_2022_C10
2022,San José,hombres,1 - 9,14,INEC_CR_2022_C10
2022,San José,hombres,10 - 19,47,INEC_CR_2022_C10
2022,San José,hombres,20 - 29,172,INEC_CR_2022_C10
2022,San José,hombres,30 - 39,249,INEC_CR_2022_C10
2022,San José,hombres,40 - 49,302,INEC_CR_2022_C10
2022,San José,hombres,50 - 59,585,INEC_CR_2022_C10
2022,San José,hombres,60 - 69,960,INEC_CR_2022_C10
2022,San José,hombres,70 - 79,1115,INEC_CR_2022_C10
2022,San José,hombres,80 años y más,1739,INEC_CR_2022_C10
2022,San José,hombres,Ignorada,9,INEC_CR_2022_C10
2022,San José,mujeres,Total,4646,INEC_CR_2022_C10
2022,San José,mujeres,Menos de 1 año,68,INEC_CR_2022_C10
2022,San José,mujeres,1 - 9,13,INEC_CR_2022_C10
2022,San José,mujeres,10 - 19,28,INEC_CR_2022_C10
2022,San José,mujeres,20 - 29,57,INEC_CR_2022_C10
2022,San José,mujeres,30 - 39,91,INEC_CR_2022_C10
2022,San José,mujeres,40 - 49,161,INEC_CR_2022_C10
2022,San José,mujeres,50 - 59,343,INEC_CR_2022_C10
2022,San José,mujeres,60 - 69,627,INEC_CR_2022_C10
2022,San José,mujeres,70 - 79,993,INEC_CR_2022_C10
2022,San José,mujeres,80 años y más,2262,INEC_CR_2022_C10
2022,San José,mujeres,Ignorada,3,INEC_CR_2022_C10
2022,Alajuela,total,Total,5565,INEC_CR_2022_C10
2022,Alajuela,total,Menos de 1 año,114,INEC_CR_2022_C10
2022,Alajuela,total,1 - 9,25,INEC_CR_2022_C10
2022,Alajuela,total,10 - 19,66,INEC_CR_2022_C10
2022,Alajuela,total,20 - 29,176,INEC_CR_2022_C10
2022,Alajuela,total,30 - 39,259,INEC_CR_2022_C10
2022,Alajuela,total,40 - 49,305,INEC_CR_2022_C10
2022,Alajuela,total,50 - 59,495,INEC_CR_2022_C10
2022,Alajuela,total,60 - 69,826,INEC_CR_2022_C10
2022,Alajuela,total,70 - 79,1154,INEC_CR_2022_C10
2022,Alajuela,total,80 años y más,2136,INEC_CR_2022_C10
2022,Alajuela,total,Ignorada,9,INEC_CR_2022_C10
2022,Alajuela,hombres,Total,3129,INEC_CR_2022_C10
2022,Alajuela,hombres,Menos de 1 año,67,INEC_CR_2022_C10
2022,Alajuela,hombres,1 - 9,15,INEC_CR_2022_C10
2022,Alajuela,hombres,10 - 19,39,INEC_CR_2022_C10
2022,Alajuela,hombres,20 - 29,147,INEC_CR_2022_C10
2022,Alajuela,hombres,30 - 39,189,INEC_CR_2022_C10
2022,Alajuela,hombres,40 - 49,207,INEC_CR_2022_C10
2022,Alajuela,hombres,50 - 59,320,INEC_CR_2022_C10
2022,Alajuela,hombres,60 - 69,498,INEC_CR_2022_C10
2022,Alajuela,hombres,70 - 79,637,INEC_CR_2022_C10
2022,Alajuela,hombres,80 años y más,1007,INEC_CR_2022_C10
2022,Alajuela,hombres,Ignorada,3,INEC_CR_2022_C10
2022,Alajuela,mujeres,Total,2436,INEC_CR_2022_C10
2022,Alajuela,mujeres,Menos de 1 año,47,INEC_CR_2022_C10
2022,Alajuela,mujeres,1 - 9,10,INEC_CR_2022_C10
2022,Alajuela,mujeres,10 - 19,27,INEC_CR_2022_C10
2022,Alajuela,mujeres,20 - 29,29,INEC_CR_2022_C10
2022,Alajuela,mujeres,30 - 39,70,INEC_CR_2022_C10
2022,Alajuela,mujeres,40 - 49,98,INEC_CR_2022_C10
2022,Alajuela,mujeres,50 - 59,175,INEC_CR_2022_C10
2022,Alajuela,mujeres,60 - 69,328,INEC_CR_2022_C10
2022,Alajuela,mujeres,70 - 79,517,INEC_CR_2022_C10
2022,Alajuela,mujeres,80 años y más,1129,INEC_CR_2022_C10
2022,Alajuela,mujeres,Ignorada,6,INEC_CR_2022_C10
2022,Cartago,total,Total,3107,INEC_CR_2022_C10
2022,Cartago,total,Menos de 1 año,59,INEC_CR_2022_C10
2022,Cartago,total,1 - 9,10,INEC_CR_2022_C10
2022,Cartago,total,10 - 19,26,INEC_CR_2022_C10
2022,Cartago,total,20 - 29,75,INEC_CR_2022_C10
2022,Cartago,total,30 - 39,112,INEC_CR_2022_C10
2022,Cartago,total,40 - 49,159,INEC_CR_2022_C10
2022,Cartago,total,50 - 59,272,INEC_CR_2022_C10
2022,Cartago,total,60 - 69,529,INEC_CR_2022_C10
2022,Cartago,total,70 - 79,628,INEC_CR_2022_C10
2022,Cartago,total,80 años y más,1235,INEC_CR_2022_C10
