Código;Sexo;Menores de 1;1;2;3;4;Menores de 5;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
003;Hombres;23;5;11;3;3;1;0;0;2;3;2;3;2;3;0;4;0;0;3;1;3;3;9;1
003;Mujeres;17;4;10;3;0;0;3;1;4;0;0;4;0;2;2;4;2;2;5;1;3;5;6;1
004;Hombres;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
004;Mujeres;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
005;Hombres;1;0;0;0;1;0;1;1;3;2;5;6;5;6;5;12;6;10;8;18;7;9;8;1
005;Mujeres;6;2;2;2;0;0;1;1;6;4;1;2;2;4;6;4;5;3;6;7;7;6;7;0
006;Hombres;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;2;0;1;0;0;0;0;0;1
006;Mujeres;1;1;0;0;0;0;0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0
011;Hombres;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
012;Hombres;8;6;1;1;0;0;0;0;1;1;2;2;0;3;7;7;10;6;3;9;10;10;19;0
012;Mujeres;5;3;2;0;0;0;1;0;0;1;1;1;5;3;3;7;6;7;8;9;9;11;11;0
013;Hombres;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
013;Mujeres;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
017;Hombres;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0
017;Mujeres;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
019;Hombres;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;1;0;0;1;0;0;0;0
019;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
020;Hombres;2;1;1;0;0;0;0;0;3;39;58;64;43;47;51;43;29;19;7;3;0;3;1;2
020;Mujeres;1;0;0;0;1;0;0;2;3;7;16;17;21;16;14;13;7;1;3;0;1;1;0;1
025;Hombres;10;7;1;0;2;0;0;1;0;1;2;0;2;0;0;1;1;5;1;0;0;1;1;0
025;Mujeres;3;0;3;0;0;0;1;0;0;1;1;0;0;1;2;2;2;2;1;0;1;0;0;0
027;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;6;3;4;4;7;3;7;6;0
027;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;5;3;3;0
028;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;4;4;7;4;7;3;1;0
028;Mujeres;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;1;2;1;4;0
029;Hombres;0;0;0;0;0;0;0;0;1;0;0;0;2;11;6;17;14;19;31;23;26;26;26;1
029;Mujeres;0;0;0;0;0;0;0;0;0;0;0;2;4;8;11;7;4;10;10;19;17;18;8;0
030;Hombres;0;0;0;0;0;0;0;0;0;0;1;0;1;2;3;11;16;14;20;22;17;14;26;0
030;Mujeres;0;0;0;0;0;0;0;0;0;0;1;1;2;5;7;6;10;13;12;22;12;12;20;0
031;Hombres;2;0;0;1;1;0;0;0;1;2;0;1;1;2;3;6;9;12;12;13;11;10;11;0
031;Mujeres;2;0;0;2;0;0;0;0;1;0;1;1;0;1;2;7;7;6;13;15;13;8;20;0
032;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;9;4;8;10;11;4;6;0
