Código;Sexo;Menores de 1;1 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
003;Hombres;19;19;0;2;1;2;1;1;1;0;1;1;1;5;4;4;4;6;7;1
003;Mujeres;19;16;1;1;1;2;0;0;0;1;0;2;1;0;3;2;2;5;4;0
004;Hombres;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
004;Mujeres;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0
005 y 006;Hombres;1;3;4;2;0;3;3;5;10;4;8;14;13;10;10;7;7;3;8;1
005 y 006;Mujeres;1;1;0;0;3;3;1;3;4;3;2;3;3;6;8;4;4;6;6;1
010;Mujeres;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
012;Hombres;0;0;1;0;0;3;0;0;0;0;0;1;1;2;4;1;10;7;12;1
012;Mujeres;0;0;0;0;1;0;1;0;1;0;1;1;2;2;3;2;8;3;15;0
013;Hombres;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
013;Mujeres;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
017;Hombres;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0
017;Mujeres;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
019;Hombres;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0
019;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
020;Hombres;3;0;1;0;7;37;63;49;42;35;45;24;26;15;18;7;3;0;2;1
020;Mujeres;2;2;1;1;8;5;12;25;12;17;6;12;10;9;3;0;0;1;1;0
021;Mujeres;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
023;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
025;Hombres;6;6;1;5;0;0;1;1;0;0;1;0;4;1;4;2;0;2;4;0
025;Mujeres;6;4;0;1;2;1;2;1;2;0;2;0;0;1;1;1;1;5;2;0
027;Hombres;0;0;0;0;0;0;0;2;1;0;2;1;3;7;12;9;3;2;5;0
027;Mujeres;0;0;0;0;0;0;0;1;0;0;1;0;5;1;4;0;3;1;2;0
028;Hombres;0;0;0;0;0;0;0;0;0;1;0;3;1;4;3;6;7;2;5;0
028;Mujeres;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;2;1;2;0;0
029;Hombres;0;0;0;0;1;1;1;6;2;5;3;15;12;13;20;22;35;24;34;0
