Código;Sexo;Menores de 1;1;2;3;4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
003;Hombres;19;10;5;1;0;2;0;0;1;0;1;1;0;0;0;2;1;2;3;3;7;3;0
003;Mujeres;13;12;5;0;2;2;0;3;2;1;0;1;3;0;3;1;3;4;2;6;4;14;0
004;Hombres;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0
005 y 006;Hombres;1;1;0;1;0;0;1;1;6;2;2;4;6;8;8;8;5;7;13;6;6;9;0
005 y 006;Mujeres;0;1;2;0;1;1;2;1;3;2;6;6;4;4;3;5;4;3;6;5;1;1;0
012;Hombres;2;0;0;0;0;0;1;0;1;1;0;1;0;1;2;1;6;3;2;7;7;10;0
012;Mujeres;2;0;0;0;0;0;0;0;1;0;2;0;0;2;1;1;5;4;9;8;5;15;0
013;Hombres;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
013;Mujeres;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
017;Hombres;0;0;1;0;0;0;0;0;1;0;2;1;0;1;0;0;1;1;1;0;2;1;0
017;Mujeres;0;1;0;0;1;0;0;0;0;0;4;1;0;2;1;0;1;0;1;2;0;0;0
019;Hombres;0;0;0;0;0;0;2;0;1;0;0;0;0;0;2;1;0;0;0;0;1;0;0
019;Mujeres;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
020;Hombres;1;0;0;0;0;0;1;10;22;29;37;25;30;17;24;22;15;4;4;2;1;0;0
020;Mujeres;0;0;0;0;0;0;1;2;4;11;9;7;10;6;2;10;2;2;1;2;0;0;0
021;Hombres;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
022;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
023;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
023;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
025;Hombres;2;2;2;1;1;2;1;0;2;0;1;4;2;0;2;3;2;4;1;5;3;4;0
025;Mujeres;3;1;6;3;1;0;1;2;0;0;0;0;2;3;1;2;3;1;2;2;4;5;0
027;Hombres;0;0;0;0;0;0;0;0;0;0;2;1;2;4;5;5;8;4;4;4;5;4;1
027;Mujeres;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;2;0;2;0;4;3;4;0
028;Hombres;0;0;0;0;0;0;0;0;0;0;1;0;1;2;3;3;2;7;7;3;5;1;0
028;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;5;0;2;3;0
029;Hombres;0;0;0;0;0;0;0;0;0;2;1;5;5;10;13;11;14;26;26;26;24;19;0
029;Mujeres;0;0;0;0;0;0;0;0;1;2;3;3;1;9;4;16;10;17;10;9;15;13;0
030;Hombres;0;0;0;0;0;0;0;0;0;3;0;4;3;3;17;21;21;26;33;27;32;16;0
030;Mujeres;0;0;0;0;0;0;0;0;0;0;1;2;4;10;13;14;15;29;26;27;24;22;0
031;Hombres;0;0;0;0;0;0;0;0;0;1;0;0;4;0;3;10;11;15;21;17;9;9;0
031;Mujeres;0;1;1;0;0;0;1;0;1;0;0;3;0;2;8;6;8;10;16;22;10;11;0
032;Hombres;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;8;8;9;15;9;9;7;0
032;Mujeres;0;0;0;0;0;0;0;0;0;0;1;2;1;1;4;7;6;10;14;14;8;13;0
033;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;8;6;7;4;0
033;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
034;Hombres;0;0;0;0;0;0;1;0;1;0;0;1;1;7;7;18;17;20;26;30;19;21;0
034;Mujeres;0;0;0;0;0;0;0;0;0;1;1;3;1;2;3;6;6;12;22;21;11;19;0
035;Hombres;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;7;1;7;2;5;1;0
035;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;2;1;0;4;0
036;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0
036;Mujeres;0;0;0;0;0;0;0;0;0;2;5;9;15;16;33;33;35;32;35;27;23;36;0
041;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;3;5;5;3;0
041;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;5;4;0
042;Hombres;0;0;0;0;1;1;1;1;0;1;0;1;0;1;4;5;4;4;4;10;5;1;0
042;Mujeres;0;0;0;0;0;1;0;2;1;2;3;3;3;0;2;3;5;8;7;6;4;3;0
043;Hombres;0;0;0;0;0;0;0;1;0;1;0;3;1;4;4;9;9;8;6;12;8;9;0
043;Mujeres;0;0;0;0;0;0;1;0;1;0;1;2;3;0;3;7;7;6;4;9;6;9;0
044;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;5;6;3;8;7;5;0
044;Mujeres;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;8;4;4;2;8;0
045;Hombres;0;0;1;1;1;6;5;6;6;2;2;3;2;4;10;6;2;6;9;8;7;10;0
045;Mujeres;1;1;0;1;0;0;4;6;3;4;3;2;2;1;7;6;8;10;7;6;5;9;0
046;Hombres;2;0;0;0;0;1;1;6;7;7;5;5;7;8;23;30;30;25;41;45;48;37;0
046;Mujeres;1;1;0;1;0;0;2;4;2;4;7;5;10;10;13;32;28;29;35;38;35;38;0
047;Hombres;1;0;0;0;0;0;1;0;0;3;4;1;0;4;7;5;9;10;17;20;13;17;0
047;Mujeres;1;0;0;0;1;1;0;0;1;0;1;2;2;5;10;7;11;7;6;12;22;23;0
049;Hombres;1;3;3;0;0;1;0;3;2;1;3;2;2;5;4;2;3;6;4;8;7;17;0
049;Mujeres;2;1;0;0;1;1;1;1;0;2;2;0;1;1;2;0;6;5;5;5;7;13;1
050;Hombres;2;1;1;0;2;0;1;1;1;0;1;0;0;0;0;2;2;1;0;2;0;3;0
050;Mujeres;0;1;0;0;0;1;1;1;0;0;1;1;1;0;1;1;2;3;2;1;2;0;0
052;Hombres;0;0;0;0;0;0;0;1;0;2;1;6;12;19;39;53;71;87;93;87;83;107;0
052;Mujeres;0;0;0;0;0;0;0;1;0;1;2;3;11;13;26;45;55;78;100;116;112;209;0
053;Hombres;4;6;1;0;0;0;1;0;0;0;0;0;0;0;0;2;1;2;4;7;3;3;0
053;Mujeres;4;7;2;0;1;1;0;0;3;0;0;0;0;1;0;1;2;2;0;5;5;18;0
054;Hombres;2;1;0;1;0;0;1;0;1;0;3;3;1;3;2;3;5;7;15;14;11;27;0
054;Mujeres;3;0;0;0;1;0;0;2;1;3;1;3;1;2;2;4;5;5;6;10;7;34;0
056;Hombres;0;0;0;0;0;0;0;0;1;1;0;3;0;1;1;6;5;3;3;3;2;1;1
056;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
057;Hombres;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;6;6;3;12;0
