Region Code: CSA
"Region Name: Central and South America"
Country Code: GTM
"Country Name: Guatemala"
Export date: 6/11/2026 12:06:08 AM
Source location: "WHO Mortality Database portal"
Metadata information: 
"Guatemala, 2015: UN World Population Prospects, 2019 rev"
"Guatemala, 2016: UN World Population Prospects, 2019 rev"
"Guatemala, 2017: UN World Population Prospects, 2019 rev"
"Guatemala, 2018: UN World Population Prospects, 2019 rev"
"Guatemala, 2019: UN World Population Prospects, 2019 rev"
"Guatemala, 2020: UN World Population Prospects, 2019 rev"
"Guatemala, 2021: UN World Population Prospects, 2019 rev"
"Guatemala, 2022: UN World Population Prospects, 2019 rev"
Year,Age group code,Age group,Sex,Population
2015,Age_all,[All],All,16252429.00000000,
2015,Age00,[0],All,415891.00000000,
2015,Age01_04,[1-4],All,1578138.00000000,
2015,Age05_09,[5-9],All,1934368.00000000,
2015,Age10_14,[10-14],All,1960131.00000000,
2015,Age15_19,[15-19],All,1826913.00000000,
2015,Age20_24,[20-24],All,1638541.00000000,
2015,Age25_29,[25-29],All,1379823.00000000,
2015,Age30_34,[30-34],All,1200749.00000000,
2015,Age35_39,[35-39],All,975906.00000000,
2015,Age40_44,[40-44],All,762945.00000000,
2015,Age45_49,[45-49],All,600300.00000000,
2015,Age50_54,[50-54],All,486422.00000000,
2015,Age55_59,[55-59],All,410918.00000000,
2015,Age60_64,[60-64],All,348835.00000000,
2015,Age65_69,[65-69],All,242353.00000000,
2015,Age70_74,[70-74],All,187975.00000000,
2015,Age75_79,[75-79],All,142937.00000000,
2015,Age80_84,[80-84],All,95575.00000000,
2015,Age85_over,[85+],All,63709.00000000,
2015,Age00_04,[0-4],All,1994029.00000000,
2015,Age05_14,[5-14],All,3894499.00000000,
2015,Age15_24,[15-24],All,3465454.00000000,
2015,Age25_34,[25-34],All,2580572.00000000,
2015,Age35_54,[35-54],All,2825573.00000000,
2015,Age55_74,[55-74],All,1190081.00000000,
2015,Age75_over,[75+],All,302221.00000000,
2015,Age_unknown,[Unknown],All,0.00000000,
2015,Age_all,[All],Male,7995000.00000000,
2015,Age00,[0],Male,212561.00000000,
2015,Age01_04,[1-4],Male,806406.00000000,
2015,Age05_09,[5-9],Male,988158.00000000,
2015,Age10_14,[10-14],Male,1000190.00000000,
2015,Age15_19,[15-19],Male,928677.00000000,
2015,Age20_24,[20-24],Male,824992.00000000,
2015,Age25_29,[25-29],Male,684511.00000000,
2015,Age30_34,[30-34],Male,582990.00000000,
2015,Age35_39,[35-39],Male,459780.00000000,
2015,Age40_44,[40-44],Male,349023.00000000,
2015,Age45_49,[45-49],Male,269642.00000000,
2015,Age50_54,[50-54],Male,216711.00000000,
2015,Age55_59,[55-59],Male,183932.00000000,
2015,Age60_64,[60-64],Male,158050.00000000,
2015,Age65_69,[65-69],Male,109384.00000000,
2015,Age70_74,[70-74],Male,85636.00000000,
2015,Age75_79,[75-79],Male,65195.00000000,
2015,Age80_84,[80-84],Male,42729.00000000,
2015,Age85_over,[85+],Male,26433.00000000,
2015,Age00_04,[0-4],Male,1018967.00000000,
2015,Age05_14,[5-14],Male,1988348.00000000,
2015,Age15_24,[15-24],Male,1753669.00000000,
2015,Age25_34,[25-34],Male,1267501.00000000,
2015,Age35_54,[35-54],Male,1295156.00000000,
2015,Age55_74,[55-74],Male,537002.00000000,
2015,Age75_over,[75+],Male,134357.00000000,
2015,Age_unknown,[Unknown],Male,0.00000000,
2015,Age_all,[All],Female,8257425.00000000,
2015,Age00,[0],Female,203330.00000000,
2015,Age01_04,[1-4],Female,771731.00000000,
2015,Age05_09,[5-9],Female,946209.00000000,
2015,Age10_14,[10-14],Female,959941.00000000,
2015,Age15_19,[15-19],Female,898237.00000000,
2015,Age20_24,[20-24],Female,813550.00000000,
2015,Age25_29,[25-29],Female,695311.00000000,
2015,Age30_34,[30-34],Female,617757.00000000,
2015,Age35_39,[35-39],Female,516126.00000000,
2015,Age40_44,[40-44],Female,413923.00000000,
2015,Age45_49,[45-49],Female,330658.00000000,
2015,Age50_54,[50-54],Female,269712.00000000,
2015,Age55_59,[55-59],Female,226985.00000000,
2015,Age60_64,[60-64],Female,190785.00000000,
2015,Age65_69,[65-69],Female,132970.00000000,
2015,Age70_74,[70-74],Female,102339.00000000,
2015,Age75_79,[75-79],Female,77740.00000000,
2015,Age80_84,[80-84],Female,52846.00000000,
2015,Age85_over,[85+],Female,37275.00000000,
2015,Age00_04,[0-4],Female,975061.00000000,
2015,Age05_14,[5-14],Female,1906150.00000000,
2015,Age15_24,[15-24],Female,1711787.00000000,
2015,Age25_34,[25-34],Female,1313068.00000000,
2015,Age35_54,[35-54],Female,1530419.00000000,
2015,Age55_74,[55-74],Female,653079.00000000,
2015,Age75_over,[75+],Female,167861.00000000,
2015,Age_unknown,[Unknown],Female,0.00000000,
2016,Age_all,[All],All,16583076.00000000,
2016,Age00,[0],All,419571.00000000,
2016,Age01_04,[1-4],All,1603137.00000000,
2016,Age05_09,[5-9],All,1930127.00000000,
2016,Age10_14,[10-14],All,1960671.00000000,
2016,Age15_19,[15-19],All,1854810.00000000,
2016,Age20_24,[20-24],All,1676865.00000000,
2016,Age25_29,[25-29],All,1420739.00000000,
2016,Age30_34,[30-34],All,1232785.00000000,
2016,Age35_39,[35-39],All,1017267.00000000,
2016,Age40_44,[40-44],All,798248.00000000,
2016,Age45_49,[45-49],All,625074.00000000,
2016,Age50_54,[50-54],All,502069.00000000,
2016,Age55_59,[55-59],All,419860.00000000,
2016,Age60_64,[60-64],All,360316.00000000,
2016,Age65_69,[65-69],All,256747.00000000,
2016,Age70_74,[70-74],All,191733.00000000,
2016,Age75_79,[75-79],All,145335.00000000,
2016,Age80_84,[80-84],All,97931.00000000,
2016,Age85_over,[85+],All,69791.00000000,
2016,Age00_04,[0-4],All,2022708.00000000,
2016,Age05_14,[5-14],All,3890798.00000000,
2016,Age15_24,[15-24],All,3531675.00000000,
2016,Age25_34,[25-34],All,2653524.00000000,
2016,Age35_54,[35-54],All,2942658.00000000,
2016,Age55_74,[55-74],All,1228656.00000000,
2016,Age75_over,[75+],All,313057.00000000,
2016,Age_unknown,[Unknown],All,0.00000000,
2016,Age_all,[All],Male,8160280.00000000,
2016,Age00,[0],Male,214425.00000000,
2016,Age01_04,[1-4],Male,819161.00000000,
2016,Age05_09,[5-9],Male,985991.00000000,
2016,Age10_14,[10-14],Male,1000620.00000000,
2016,Age15_19,[15-19],Male,943372.00000000,
2016,Age20_24,[20-24],Male,845365.00000000,
2016,Age25_29,[25-29],Male,706288.00000000,
2016,Age30_34,[30-34],Male,600556.00000000,
2016,Age35_39,[35-39],Male,481562.00000000,
2016,Age40_44,[40-44],Male,366568.00000000,
2016,Age45_49,[45-49],Male,281151.00000000,
2016,Age50_54,[50-54],Male,223520.00000000,
2016,Age55_59,[55-59],Male,187310.00000000,
2016,Age60_64,[60-64],Male,162702.00000000,
2016,Age65_69,[65-69],Male,115675.00000000,
2016,Age70_74,[70-74],Male,86898.00000000,
2016,Age75_79,[75-79],Male,66125.00000000,
2016,Age80_84,[80-84],Male,43829.00000000,
2016,Age85_over,[85+],Male,29162.00000000,
2016,Age00_04,[0-4],Male,1033586.00000000,
2016,Age05_14,[5-14],Male,1986611.00000000,
2016,Age15_24,[15-24],Male,1788737.00000000,
2016,Age25_34,[25-34],Male,1306844.00000000,
2016,Age35_54,[35-54],Male,1352801.00000000,
2016,Age55_74,[55-74],Male,552585.00000000,
2016,Age75_over,[75+],Male,139116.00000000,
2016,Age_unknown,[Unknown],Male,0.00000000,
2016,Age_all,[All],Female,8422799.00000000,
2016,Age00,[0],Female,205145.00000000,
